Название альбома / Сингл,Название трека,Любимая песня (да/дада/нет)
My Little Dead Boy,Victim's Revenge,Нет
My Little Dead Boy,Burroughs,Нет
My Little Dead Boy,One Man Party,Нет
My Little Dead Boy,"Athens Freestyle, Evolution",Да
My Little Dead Boy,Athens,Нет
My Little Dead Boy,DAWGS,Нет
My Little Dead Boy,Dionis,Нет
My Little Dead Boy,Rudeboy Back to Japan,Нет
My Little Dead Boy,MLDB,Нет
My Little Dead Boy,Kulak,Нет
My Little Dead Boy,Eyesed,Нет
My Little Dead Boy,The River,Нет
Зверь без нации,На боль,Да
Зверь без нации,Рваньё,Нет
Зверь без нации,Запад/Восток,Да
Зверь без нации,Пёс,Да
Зверь без нации,На русском,Да
Зверь без нации,Место силы,Нет
Зверь без нации,Ёк Ёк,Да
Зверь без нации,На фоксе,Да
Зверь без нации,Коррида,Нет
Зверь без нации,Рай полон детей,Нет
Зверь без нации,Милый прадед,Нет
Зверь без нации,Лучшее было,Нет
Зверь без нации,Заводы стоят,Нет
Зверь без нации,Грязное окно,Дада
Зверь без нации,Латина,Да
Зверь без нации,Зверь без нации/Одной крови,Да
Повестка,Твоя сука хочет плакать?,Нет
Повестка,METALHEAD,Нет
Повестка,I (Натуралист),Нет
Повестка,Серьёзный Сэм,Нет
Повестка,Розу Брату,Нет
Повестка,Королева,Дада
Повестка,Шлягер,Нет
ПОВЕС2КА,Культ,Нет
ПОВЕС2КА,Издат,Дада
ПОВЕС2КА,Китобой,Да
ПОВЕС2КА,Быть Дауном,Да
ПОВЕС2КА,Язычок,Нет
ПОВЕС2КА,Мать 2,Нет
ПОВЕС2КА,Болей мной,Нет
ПОВЕС2КА,Никотин,Нет
ПОВЕС2КА,BBB,Дада
Сожги Этот Альбом,Год сна,Да
Сожги Этот Альбом,Проще,Да
Сожги Этот Альбом,Хороший мальчик,Да
Сожги Этот Альбом,Горько,Да
Сожги Этот Альбом,Западня,Да
Сожги Этот Альбом,Петля,Да
Сожги Этот Альбом,В полупустой хате,Да
Сожги Этот Альбом,Из говна и палок,Да
Сожги Этот Альбом,Влитой,Да
Сожги Этот Альбом,Солнечная сторона,Дада
Сожги Этот Альбом,Стекло,Да
Сожги Этот Альбом,Живой,Да
Сожги Этот Альбом,Своё лицо,Да
Сожги Этот Альбом,Не монстр,Да
Сожги Этот Альбом,Лоботомия,Дада
Сожги Этот Альбом,Лавина,Да
Сожги Этот Альбом,Зомби надо хоронить,Да
Сожги Этот Альбом,"День, который не придёт",Да
Сожги Этот Альбом,Когда меня заберут,Дада
Сожги Этот Альбом,Лирический герой,Дада
Сожги Этот Альбом,Шум,Да
Чёрная метка,Белый работяга,Нет
Чёрная метка,Прорубь,Дада
Чёрная метка,Метаморфоза,Нет
Чёрная метка,Жарко,Нет
Чёрная метка,Театр,Нет
Чёрная метка,Вудпекер,Да
Чёрная метка,Рагнарёк,Нет
Контроль,Одинокий каннибал,Да
Контроль,Хоровод,Да
Контроль,Лопасти,Нет
Контроль,Но,Да
Контроль,Олонхо,Да
Контроль,Кровь,Нет
Контроль,Гуманизм,Нет
Контроль,Нежнее стать,Нет
Контроль,Фауст,Да
Контроль,Трубка мира,Нет
Контроль,Батя нации,Да
Контроль,Удочка для охоты,Дада
Контроль,Я жду зла,Нет
Контроль,Апельсиновый сок,Нет
Контроль,Озоновый слой,Да
Пов3стка,На Боль 2022,Нет
Пов3стка,Мёртвые Кролики,Нет
Пов3стка,Муха,Нет
Пов3стка,Венки На Трассе,Нет
Пов3стка,Потом,Нет
Пов3стка,Роспел,Нет
Пов3стка,Хейт Спич,Да
Пов3стка,Вайолентово,Нет
Пов3стка,Хлопок 99%,Нет
Пов3стка,Двойной Агент,Нет
