Название альбома / Сингл,Год выпуска,Название трека,Длительность трека,Жанр
My Little Dead Boy,2016,Victim's Revenge,4:10,Хип-хоп
My Little Dead Boy,2016,Burroughs,6:39,Хип-хоп
My Little Dead Boy,2016,One Man Party,2:38,Хип-хоп
My Little Dead Boy,2016,"Athens Freestyle, Evolution",3:49,Хип-хоп
My Little Dead Boy,2016,Athens,3:07,Хип-хоп
My Little Dead Boy,2016,DAWGS,3:45,Хип-хоп
My Little Dead Boy,2016,Dionis,4:02,Хип-хоп
My Little Dead Boy,2016,Rudeboy Back to Japan,3:43,Хип-хоп
My Little Dead Boy,2016,MLDB,4:21,Хип-хоп
My Little Dead Boy,2016,Kulak,3:15,Хип-хоп
My Little Dead Boy,2016,Eyesed,3:42,Хип-хоп
My Little Dead Boy,2016,The River,3:43,Хип-хоп
Зверь без нации,2017,На боль,2:56,Хип-хоп
Зверь без нации,2017,Рваньё,2:34,Хип-хоп
Зверь без нации,2017,Запад/Восток,3:02,Хип-хоп
Зверь без нации,2017,Пёс,2:53,Хип-хоп
Зверь без нации,2017,На русском,4:04,Хип-хоп
Зверь без нации,2017,Место силы,2:33,Хип-хоп
Зверь без нации,2017,Ёк Ёк,4:13,Хип-хоп
Зверь без нации,2017,На фоксе,2:37,Хип-хоп
Зверь без нации,2017,Коррида,2:07,Хип-хоп
Зверь без нации,2017,Рай полон детей,1:54,Хип-хоп
Зверь без нации,2017,Милый прадед,3:49,Хип-хоп
Зверь без нации,2017,Лучшее было,1:23,Хип-хоп
Зверь без нации,2017,Заводы стоят,1:54,Хип-хоп
Зверь без нации,2017,Грязное окно,2:28,Хип-хоп
Зверь без нации,2017,Латина,3:00,Хип-хоп
Зверь без нации,2017,Зверь без нации/Одной крови,5:31,Хип-хоп
Повестка,2017,Твоя сука хочет плакать?,2:54,Хип-хоп
Повестка,2017,METALHEAD,2:22,Хип-хоп
Повестка,2017,I (Натуралист),1:53,Хип-хоп
Повестка,2017,Серьёзный Сэм,2:54,Хип-хоп
Повестка,2017,Розу Брату,2:33,Хип-хоп
Повестка,2017,Королева,2:00,Хип-хоп
Повестка,2017,Шлягер,2:22,Хип-хоп
ПОВЕС2КА,2018,Культ,2:31,Хип-хоп
ПОВЕС2КА,2018,Издат,2:48,Хип-хоп
ПОВЕС2КА,2018,Китобой,2:18,Хип-хоп
ПОВЕС2КА,2018,Быть Дауном,3:37,Хип-хоп
ПОВЕС2КА,2018,Язычок,3:12,Хип-хоп
ПОВЕС2КА,2018,Мать 2,2:26,Хип-хоп
ПОВЕС2КА,2018,Болей мной,5:34,Хип-хоп
ПОВЕС2КА,2018,Никотин,3:52,Хип-хоп
ПОВЕС2КА,2018,BBB,3:31,Хип-хоп
Сожги Этот Альбом,2019,Год сна,2:25,Хип-хоп
Сожги Этот Альбом,2019,Проще,3:30,Хип-хоп
Сожги Этот Альбом,2019,Хороший мальчик,2:36,Хип-хоп
Сожги Этот Альбом,2019,Горько,2:11,Хип-хоп
Сожги Этот Альбом,2019,Западня,2:32,Хип-хоп
Сожги Этот Альбом,2019,Петля,2:19,Хип-хоп
Сожги Этот Альбом,2019,В полупустой хате,2:43,Хип-хоп
Сожги Этот Альбом,2019,Из говна и палок,2:31,Хип-хоп
Сожги Этот Альбом,2019,Влитой,4:11,Хип-хоп
Сожги Этот Альбом,2019,Солнечная сторона,3:24,Хип-хоп
