Название альбома / Сингл,Количество прослушиваний 
My Little Dead Boy,144656
Зверь без нации,747311
Повестка,650772
ПОВЕС2КА,740005
Сожги Этот Альбом,4838436
Чёрная метка,4052004
Контроль,9062817
Пов3стка,3499415
У себя на кухне,529200
СТАЯ 1993,36491
JIJA,17742
Степь,64064
KONSTRUKT,897068
OK LOQI,19057
КОАЛКО,86189
Гвозди,297169
АЛЛО,160870
Good Not Ok,202762
MLAB,803766
No Comments,96752
ФуФ,59859
Самовывоз,97700
Паразиты,46574
Чёрство,50221
Живой Питер 2018 (Live),359316
Зомби надо хоронить (Live),1766083
